Ref,Val,Package,PosX,PosY,Rot,Side
"L2","8.2uH_6.1A","IND-SMD_L5.5-W5.3_FEXL0520A-1R0M",173.325000,-110.150000,0.000000,top
"L4","4.7uH_1.4A","L1008",152.150000,-100.725000,180.000000,top
"L6","BLM21AG121SN1D","R_0805_2012Metric",134.040000,-105.370000,180.000000,top
"L9","DLW21SN900SQ2L","L2012",182.795200,-120.030000,90.000000,top
"LED1","LED_GREEN","LED_0603",177.800000,-93.800000,180.000000,top
"LED3","LED_RED","LED_0603",117.499100,-125.330000,0.000000,top
"LED4","LED_GREEN","LED_0603",117.400000,-127.900000,0.000000,top
"LED5","LED_BLUE","LED_0603",117.419100,-130.330000,0.000000,top
"LED6","SLR0365CRA1BD/AFN-3651A","LED-SEG-TH_SLR0365CRA1BD-AFN-3651A",153.195200,-86.740000,0.000000,top
"R1","0Ω","R_0603_1608Metric",126.885200,-109.560000,0.000000,top
"R2","10K","R_0603_1608Metric",126.035200,-112.755000,90.000000,top
"R4","10K","R_0603_1608Metric",184.050000,-103.350000,-90.000000,top
"R5","84.5K","R_0603_1608Metric",182.650000,-100.175000,180.000000,top
"R6","100K","R_0603_1608Metric",179.150000,-99.325000,90.000000,top
"R9","10K","R_0603_1608Metric",174.800000,-126.170000,180.000000,top
"R10","17.8K","R_0603_1608Metric",177.625000,-99.325000,-90.000000,top
"R11","3.6K","R_0603_1608Metric",123.925000,-91.825000,180.000000,top
"R12","240Ω","R_0603_1608Metric",123.925000,-90.300000,180.000000,top
"R13","0Ω","R_0603_1608Metric",134.290000,-107.760000,180.000000,top
"R14","1K","R_0603_1608Metric",174.375000,-93.750000,0.000000,top
"R16","3.9K","R_0603_1608Metric",130.690000,-123.010000,180.000000,top
"R19","10K","R_0603_1608Metric",167.030000,-124.690000,90.000000,top
"R21","0Ω_0603","R_0603_1608Metric",158.825000,-99.975000,180.000000,top
"R32","2K","R_0603_1608Metric",176.465200,-122.760000,180.000000,top
"R33","1M","R_0603_1608Metric",136.530000,-118.790000,90.000000,top
"R34","1K","R_0603_1608Metric",120.650000,-125.390000,0.000000,top
"R36","1K","R_0603_1608Metric",120.640000,-127.890000,0.000000,top
"R38","1K","R_0603_1608Metric",120.670000,-130.290000,0.000000,top
"R51","100K","R_0603_1608Metric",111.995200,-122.060000,180.000000,top
"R52","100K","R_0603_1608Metric",111.995200,-117.260000,180.000000,top
"R57","470K","R_0603_1608Metric",111.995200,-125.260000,0.000000,top
"R59","470K","R_0603_1608Metric",111.995200,-115.660000,0.000000,top
"R111","10K","R_0603_1608Metric",125.235200,-104.200000,90.000000,top
"R112","10K","R_0603_1608Metric",126.730200,-104.200000,-90.000000,top
"R113","0Ω_0603","R_0603_1608Metric",126.730200,-101.200000,90.000000,top
"R114","36Ω","R_0603_1608Metric",131.200000,-104.200000,90.000000,top
"R115","36Ω","R_0603_1608Metric",129.670200,-101.220000,-90.000000,top
"R120","0Ω_0603","R_0603_1608Metric",128.235200,-104.200000,-90.000000,top
"REF**","PB","PB",115.002939,-78.787939,0.000000,top
"REF**","HPM Logo","HPM LOGO",172.404539,-88.565319,0.000000,top
"Ref**","Val**","ESD",121.701850,-123.524750,0.000000,top
"SW2","轻触开关4.5mm*4.5mm*4mm","轻触开关SMD-4P,4.5x4.5mm",177.470000,-129.750000,0.000000,top
"SW3","轻触开关4.5mm*4.5mm*4mm","轻触开关SMD-4P,4.5x4.5mm",167.760000,-129.800000,0.000000,top
"U1","HPM5361ICB1","LQFP-100_14x14mm_P0.5mm",146.375200,-111.220000,180.000000,top
"U2","REF3433IDBVR","SOT-23-6",130.445200,-108.930000,180.000000,top
"U3","LMR14050SDDAR","SOIC-8EP",179.500000,-103.900000,180.000000,top
"U4","TPS7A2033PDBVR","SOT-23-5",128.935200,-112.815000,0.000000,top
"U8","PRTR5V0U2X","SOT-143",187.835200,-123.230000,180.000000,top
"U9","CH340E","MSOP-10",174.841990,-120.080000,180.000000,top
"U17","LM317T","SOT-223-3_L6.7-W3.7-P2.30-LS7.0-BR",127.525000,-85.000000,-90.000000,top
"X1","24MHz ±10ppm 12pF","3225",133.910000,-118.820000,90.000000,top
