Ref,Val,Package,PosX,PosY,Rot,Side
"C21","22uF,10V","C_0603",73.008000,9.700000,180.000000,top
"C51","0.1uF,16V","C_0402",59.345000,78.605000,90.000000,top
"C58","0.1uF,16V","C_0402",76.300000,63.030000,0.000000,top
"C59","22uF,10V","C_0603",76.540000,61.910000,0.000000,top
"C60","0.1uF,16V","C_0402",39.532000,11.925000,0.000000,top
"C61","0.1uF,16V","C_0402",80.290000,9.360000,0.000000,top
"C63","10uF,10V","C_0402",39.532000,12.970000,0.000000,top
"C66","22uF,10V","C_0603",80.564000,8.177000,0.000000,top
"C68","22uF,10V","C_0603",80.548000,6.747000,0.000000,top
"C69","0.1uF,16V","C_0402",62.610000,32.105000,-90.000000,top
"C72","0.1uF,16V","C_0402",62.610000,39.745000,90.000000,top
"C73","0.1uF,16V","C_0402",62.610000,35.925000,90.000000,top
"C74","0.1uF,16V","C_0402",52.790000,38.590000,0.000000,top
"C75","0.1uF,16V","C_0402",53.140000,31.765000,90.000000,top
"C77","0.1uF,16V","C_0402",62.610000,37.835000,90.000000,top
"C78","0.1uF,16V","C_0402",62.610000,41.655000,90.000000,top
"C80","0.1uF,16V","C_0402",53.140000,36.190000,-90.000000,top
"C81","0.1uF,16V","C_0402",53.140000,34.240000,-90.000000,top
"C82","0.1uF,16V","C_0402",30.900000,69.720000,-90.000000,top
"C83","10uF,10V","C_0402",29.975000,69.700000,-90.000000,top
"C84","DMS3R3224R","DMS3R3224",7.138700,19.739300,0.000000,top
"C86","4.7uF,10V","C_0402",54.219702,70.311900,180.000000,top
"C87","4.7uF,10V","C_0402",61.830000,78.595000,-90.000000,top
"C91","0.1uF,16V","C_0402",54.254702,65.001900,180.000000,top
"C92","10uF,10V","C_0402",54.244702,64.111900,180.000000,top
"C105","0.1uF,16V","C_0402",77.450000,71.552000,90.000000,top
"C106","22uF,10V","C_0603",76.290000,71.902000,90.000000,top
"C111","22uF,10V","C_0603",61.690000,66.490000,0.000000,top
"C118","22uF,10V","C_0603",61.690000,65.290000,0.000000,top
"C119","10uF,10V","C_0402",52.760000,39.505000,0.000000,top
"C120","10uF,10V","C_0402",62.610000,33.965000,-90.000000,top
"C121","0.1uF,16V","C_0402",52.790000,37.740000,0.000000,top
"C122","0.1uF,16V","C_0402",52.720000,41.745000,90.000000,top
"C123","0.1uF,16V","C_0402",75.790000,12.090000,-90.000000,top
"C124","0.1uF,16V","C_0402",54.175000,71.250000,180.000000,top
"C128","0.1uF,16V","C_0402",62.390000,71.070000,0.000000,top
"C129","22uF,10V","C_0603",62.407000,72.195000,0.000000,top
"C130","22uF,10V","C_0603",62.407000,73.595000,0.000000,top
"C131","0.1uF,16V","C_0402",59.945000,68.570000,90.000000,top
"C133","22uF,10V","C_0603",61.690000,64.040000,0.000000,top
"C135","0.1uF,16V","C_0402",58.872000,65.530000,180.000000,top
"C136","22pF,50V","C_0402",64.970000,67.570000,90.000000,top
"C137","22pF,50V","C_0402",79.386000,14.422000,180.000000,top
"C139","22uF,10V","C_0603",73.008000,6.850000,180.000000,top
"C141","0.1uF,16V","C_0402",73.160000,5.600000,180.000000,top
"CN1","2.54-2*10P简牛","简易牛角插座 2-10P",81.855000,33.761000,90.000000,top
"D1","SS34A","SMA",71.860000,62.690000,0.000000,top
"D2","BAV99","SOT-23",9.200000,16.800000,-90.000000,top
"D3","SS34A","SMA",70.998000,73.890000,0.000000,top
"D4","BAT54A-7-F","SOT-23-3L",77.055000,77.490000,-90.000000,top
"D5","SMF6.0CA","SOD-123",73.990000,60.040000,180.000000,top
"D6","SMF6.0CA","SOD-123",72.790000,71.290000,180.000000,top
"FB1","100Ω@100MHz 2A","R_0603_1608Metric",10.700000,24.425000,-90.000000,top
"FB2","100Ω@100MHz 2A","R_0805_2012Metric",73.527500,11.596000,0.000000,top
"H1","MountingHole_Pad","FIX",78.980085,81.460642,0.000000,top
"H2","MountingHole_Pad","FIX",0.000000,2.500000,0.000000,top
"H3","MountingHole_Pad","FIX",76.705085,7.060642,0.000000,top
"H4","MountingHole_Pad","FIX",-4.619957,81.542821,0.000000,top
"J1","USB_Type-C","TYPE-C-16P",81.419800,56.570000,90.000000,top
"J5","USB_Type-C","TYPE-C-16P",81.419800,68.944800,90.000000,top
"J6","Conn_01x03","PinHeader_1x03_P2.54mm",4.295000,79.685000,90.000000,top
"J8","测试针","测试针",67.540000,19.445000,0.000000,top
"JP1","Jumper_2","PinHeader_1x02_P2.54mm_Vertical",12.930000,24.090000,90.000000,top
"JP2","Jumper_2","PinHeader_1x02_P2.54mm_Vertical",28.905000,11.340000,-90.000000,top
"JP3","Jumper_2","PinHeader_1x02_P2.54mm_Vertical",47.370000,18.975000,90.000000,top
"JP4","Jumper_2","PinHeader_1x02_P2.54mm_Vertical",13.100000,28.540000,90.000000,top
